exp,run,model,instances_compared,mean_rank,wins,primary_mean_gap_pct
exp_edge_tf_h128_d3_ccv1,20260211-210533,edge_transformer,14,6.535714285714286,1,9.491544365154125
exp_edge_tf_h128_d3_relv2_ms_ccv1,20260212-183537,edge_transformer,14,8.214285714285714,2,10.131209796217627
exp_edge_tf_h256_d5_relv2_ms_ccv1,20260212-193311,edge_transformer,14,8.392857142857142,3,11.120578342483274
exp_edge_mlp_h256_d3_ccv1,20260210-195752,edge_mlp_deep,14,8.678571428571429,0,11.368189682535712
exp_edge_tf_h192_d4_relsc_ccv1,20260211-215800,edge_transformer,14,8.821428571428571,1,12.127576445683157
exp_edge_tf_h256_d4_ccv1,20260211-212905,edge_transformer,14,8.928571428571429,1,11.41968709261188
exp_edge_tf_h256_d4_relv2_ms_ccv1,20260212-190122,edge_transformer,14,9.035714285714286,1,12.262281460037395
exp_edge_tf_h256_d5_relsc_ccv1,20260211-223953,edge_transformer,14,9.071428571428571,0,11.679696497069989
exp_edge_mlp_h128_d2,20260210-175745,edge_mlp,14,9.107142857142858,0,11.602265360697384
exp_edge_res_h128_d4,20260210-180915,edge_res_mlp,14,9.428571428571429,1,12.379810937661734
exp_edge_mlp_h256_d2_ccv1,20260210-191744,edge_mlp,14,9.535714285714286,3,12.328360965010045
exp_edge_mlp_h256_d3,20260210-175524,edge_mlp_deep,14,9.642857142857142,1,12.089906135652553
exp_edge_tf_h320_d3_relsc_ccv1,20260211-232057,edge_transformer,14,10.357142857142858,1,11.999254989580166
exp_edge_res_h128_d4_ccv1,20260210-191322,edge_res_mlp,14,10.5,0,13.248017221741263
exp_edge_mlp_h128_d2_ccv1,20260210-185558,edge_mlp,14,10.785714285714286,0,12.33923149366525
exp_edge_res_h256_d4_ccv1,20260210-203342,edge_res_mlp,14,11.142857142857142,0,13.605487173529559
exp_edge_mlp_h256_d2,20260210-171914,edge_mlp,14,11.214285714285714,1,13.120013297661606
exp_edge_res_h256_d4,20260210-183210,edge_res_mlp,14,11.607142857142858,0,13.370566208434946
